MachineNo,MachineCode,ProductionID,ItemCode,ItemName,TotalQuantity,ScrapQuantity,SyncTime,UserName,MHECode,QualityStatus,LiveQty,source_schema
DualEx,DualEx,DualEx_30122025094512_20,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,80.0,1.0,2025-12-30 09:45:12.743,16954,LT00002,Consumed,0.00,DualEx
DualEx,DualEx,DualEx_30122025101318_22,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,50.0,1.0,2025-12-30 10:13:18.310,16954,T000010,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025102250_23,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,50.0,1.0,2025-12-30 10:22:50.043,16954,I000006,Consumed,0.00,DualEx
DualEx,DualEx,DualEx_30122025103046_24,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,50.0,1.0,2025-12-30 10:30:46.377,16954,T000004,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025111200_26,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,170.0,1.0,2025-12-30 11:12:00.180,16954,LT00127,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025113029_27,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,80.0,1.0,2025-12-30 11:30:29.470,16954,LT00067,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025114156_28,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,80.0,1.0,2025-12-30 11:41:56.503,16954,LT00043,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025133640_33,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,80.0,1.0,2025-12-30 13:36:40.120,16954,LT00183,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025141515_34,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,150.0,1.0,2025-12-30 14:15:15.350,16954,LT00077,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025161948_1,19515SKTL-NBJ,19515SKTL-NBJ,80.0,2.0,2025-12-30 16:19:48.743,16954,LT00089,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025171752_2,1958015BRT-TT-NBJ,1958015BRT-TT-NBJ,50.0,2.0,2025-12-30 17:17:52.177,16954,Lt00019,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025172529_1,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,50.0,1.0,2025-12-30 17:25:29.270,16954,Lt00107,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025180234_3,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,160.0,2.0,2025-12-30 18:02:34.537,16954,LT00124,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025184510_6,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,80.0,1.0,2025-12-30 18:45:10.863,16954,LT00111,Consumed1,0,DualEx
DualEx,DualEx,DualEx_30122025191210_7,70015SK12PR-TT TREAD-NBJ,70015SK12PR-TT TREAD-NBJ,60.0,5.0,2025-12-30 19:12:10.367,16954,Lt00109,Consumed1,0,DualEx
Duplex_winder 1,Duplex_winder 1,Duplex_30122025050704_6,23565R17RNGRHT-VMAXX,23565R17RNGRHT-VMAXX,110.0,0.0,2025-12-30 05:07:04.130,16990,CSTA711,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025051519_1,1955516UXTR-T1-VMAXX,1955516UXTR-T1-VMAXX,110.0,0.0,2025-12-30 05:15:19.500,16990,CSTA215,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025055957_1,16570R14TAXI-VMAXX,16570R14TAXI-VMAXX,110.0,0.0,2025-12-30 05:59:57.527,16990,CSTA759,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025074655_7,16570R14TAXI-VMAXX,16570R14TAXI-VMAXX,110.0,0.0,2025-12-30 07:46:55.463,16942,CSTA505,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025074928_8,16570R14TAXI-VMAXX,16570R14TAXI-VMAXX,110.0,0.0,2025-12-30 07:49:28.037,16942,CSTA662,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025081051_1,1458012TMAXTL-US,1458012TMAXTL-US,130.0,0.0,2025-12-30 08:10:51.883,16942,SW00004,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025082633_8,1458012TMAXTL-US,1458012TMAXTL-US,130.0,0.0,2025-12-30 08:26:33.347,16942,SW00200,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025083734_12,1458012TMAXTL-US,1458012TMAXTL-US,130.0,0.0,2025-12-30 08:37:34.877,16942,SW00090,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025084121_1,2157515BRT4X4-TT-2S,2157515BRT4X4-TT-2S,100.0,0.0,2025-12-30 08:41:21.460,16942,SW00035,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025084138_2,2157515BRT4X4-TT-2S,2157515BRT4X4-TT-2S,130.0,0.0,2025-12-30 08:41:38.627,16942,SW00028,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025085128_3,2157515BRT4X4-TT-2S,2157515BRT4X4-TT-2S,100.0,0.0,2025-12-30 08:51:28.633,16942,SW00153,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025085159_4,2157515BRT4X4-TT-2S,2157515BRT4X4-TT-2S,100.0,0.0,2025-12-30 08:51:59.370,16942,SW00149,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025090332_7,2157515BRT4X4-TT-2S,2157515BRT4X4-TT-2S,100.0,0.0,2025-12-30 09:03:32.603,16942,SW00128,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025090357_8,2157515BRT4X4-TT-2S,2157515BRT4X4-TT-2S,100.0,0.0,2025-12-30 09:03:57.973,16942,SW00154,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025092826_5,16580R14UXTOUR-VMAXX,16580R14UXTOUR-VMAXX,110.0,0.0,2025-12-30 09:28:26.450,16942,CSTA434,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025093349_6,16580R14UXTOUR-VMAXX,16580R14UXTOUR-VMAXX,110.0,0.0,2025-12-30 09:33:49.170,16942,CSTA212,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025094754_1,21575R15RANHT-VMAXX,21575R15RANHT-VMAXX,110.0,0.0,2025-12-30 09:47:54.513,16942,CSTA207,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025095711_2,21575R15RANHT-VMAXX,21575R15RANHT-VMAXX,110.0,0.0,2025-12-30 09:57:11.590,16942,CSTA962,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025101726_5,21575R15RANHT-VMAXX,21575R15RANHT-VMAXX,110.0,0.0,2025-12-30 10:17:26.710,16942,CSTA433,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025120916_1,2357515RANGXAT-2S,2357515RANGXAT-2S,100.0,0.0,2025-12-30 12:09:16.400,16942,SW00185,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025121828_4,2357515RANGXAT-2S,2357515RANGXAT-2S,100.0,0.0,2025-12-30 12:18:28.050,16942,SW00129,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025124337_1,SW1856515UXRYSD-VMAX,SW1856515UXRYSD-VMAX,110.0,0.0,2025-12-30 12:43:37.080,16942,CSTA668,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025125526_3,SW1856515UXRYSD-VMAX,SW1856515UXRYSD-VMAX,110.0,0.0,2025-12-30 12:55:26.187,16942,CSTA437,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025131535_2,SW2157515SK--NBJ,SW2157515SK--NBJ,90.0,0.0,2025-12-30 13:15:35.883,16942,SWNBJ04,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025131925_3,SW2157515SK--NBJ,SW2157515SK--NBJ,90.0,0.0,2025-12-30 13:19:25.163,16942,SWNBJ10,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025133228_5,SW2157515SK--NBJ,SW2157515SK--NBJ,90.0,0.0,2025-12-30 13:32:28.187,16942,SW00145,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025133737_6,SW2157515SK--NBJ,SW2157515SK--NBJ,90.0,0.0,2025-12-30 13:37:37.980,16942,S000003,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025134609_8,SW2157515SK--NBJ,SW2157515SK--NBJ,90.0,0.0,2025-12-30 13:46:09.043,16942,SWNBJ60,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025152509_1,20565R16TAXI-VMAXX,20565R16TAXI-VMAXX,110.0,0.0,2025-12-30 15:25:09.507,202770,CSTA687,Consumed1,0,Duplex
